time,A
0,9.152343907
2,9.050797894
4,9.184363262
6,8.995730623
8,9.006067432
10,9.042194668
12,8.884713128
14,9.157319289
16,9.288681616
18,8.924916473
20,9.188460408
22,9.132427857
24,9.052372713
26,9.064439698
28,9.239186333
30,9.193168518
32,8.974502143
34,9.009407906
36,8.914509184
38,8.976220787
40,9.081546848
42,8.992547409
44,8.655421469
46,9.006724887
48,9.292998383
50,9.119205602
52,8.969560669
54,9.161110532
56,9.140282102
58,9.061747284
60,8.96424047
62,9.112232093
64,9.060786777
66,8.933649732
68,9.204757087
70,9.188561763
72,9.087640797
74,9.049257706
76,9.024047224
78,9.137399569
80,9.216570298
82,9.06489001
84,9.087175239
86,9.088821376
88,8.940115296
90,8.793955602
92,9.240814141
94,8.804734487
96,8.821540087
98,9.2119743
100,9.134496481
102,9.171538366
104,9.303264501
106,9.09116329
108,8.881840765
110,9.030927351
112,9.015749327
114,9.151615846
116,9.180050915
118,9.152675131
120,8.966568877
122,8.784008177
124,9.187062442
126,9.167647435
128,8.914934435
130,8.91529055
132,8.842875298
134,8.910943076
136,9.096415891
138,9.25180318
140,9.195250052
142,9.080734743
144,9.130309968
146,9.074649512
148,8.898106607
150,9.145759468
152,8.873893616
154,8.986680022
156,9.000828235
158,9.227628234
160,9.200555979
162,8.943918651
164,8.990550264
166,8.909371274
168,8.839522183
170,8.910558573
172,8.873631973
174,9.13028448
176,9.020924183
178,8.923637179
180,9.127411542
182,8.974503771
184,8.928139618
186,8.955865168
188,8.981491637
190,9.055212134
192,8.967624709
194,9.029422419
196,8.95764026
198,8.935020741
200,9.06545973
202,8.891540297
204,9.060513796
206,8.976174759
208,9.123684841
210,8.853038614
212,9.119952299
214,9.075720214
216,8.879188048
218,8.63489562
220,8.95046189
222,8.940977345
224,8.822398786
226,8.769964513
228,8.975793845
230,9.245451826
232,9.213148688
234,8.986319278
236,8.927198378
238,8.708586752
240,8.854318511
242,9.104530531
244,8.868510004
246,8.79872677
248,9.142353603
250,8.827713073
252,8.804262246
254,8.821462035
256,8.907171113
258,9.093542782
260,8.824393791
262,8.774372696
264,8.691019098
266,9.162424352
268,8.862590009
270,8.960369684
272,8.901655179
274,8.992815109
276,9.072269328
278,8.985043308
280,9.153027617
282,8.763391966
284,9.072375427
286,9.255403746
288,8.947066483
290,8.928108071
292,8.692054188
294,8.972944818
296,9.069367641
298,9.255033322
300,9.053828102
302,8.985703846
304,9.019956195
306,10.1121908
308,15.40537164
310,17.01319201
312,16.11117459
314,14.7544652
316,13.17860646
318,11.90191484
320,10.86150584
322,10.00840145
324,9.468644335
326,8.458099271
328,8.050019755
330,7.149248963
332,6.973234131
334,6.703839452
336,6.642879252
338,6.19881621
340,6.390745922
342,6.044844954
344,5.866519163
346,5.769869996
348,5.51407773
350,5.294115211
352,5.049414774
354,5.368567672
356,5.239938854
358,5.102343805
360,4.880688576
362,5.114733084
364,4.852814073
366,4.807793331
368,4.877262451
370,4.958070793
372,4.637246953
374,4.723314538
376,4.720968337
378,4.602026053
380,4.384367664
382,4.600544455
384,4.392988844
386,4.415970906
388,4.70536023
390,4.51214086
392,4.666820066
394,4.367980879
396,4.343024649
398,4.249666248
400,3.962217598
402,4.097026217
404,3.990414194
406,4.156288872
408,4.246737601
410,3.798363674
412,4.053081979
414,3.937075696
416,3.693545429
418,4.025000401
420,3.719892045
422,3.949366593
424,3.75354195
426,3.775798361
428,3.661075634
430,3.736618984
432,3.802085581
434,3.711892204
436,3.760464884
438,3.56742734
440,3.610556613
442,3.549263741
444,3.506082416
446,3.565039083
448,3.435425605
450,3.654127522
452,3.502792169
454,3.287387637
456,3.341136817
458,3.245983211
460,3.319525094
462,3.205812282
464,3.190143252
466,3.653141438
468,3.321666125
470,3.164944028
472,3.272090444
474,3.521636122
476,3.37694707
478,2.982579197
480,3.186100553
482,3.260266904
484,3.054950209
486,3.218242131
488,3.098155097
490,3.151801765
492,3.060903012
494,3.056511694
496,3.179269344
498,3.067762638
500,3.322617958
502,3.177007911
504,2.923777808
506,3.130235443
508,2.972554157
510,2.833129814
512,2.855960332
514,2.880237646
516,2.915227964
518,2.628012295
520,2.991386659
522,3.06505604
524,2.871531973
526,2.876840996
528,2.971313239
530,2.919398516
532,2.929528437
534,2.950722115
536,2.792696474
538,3.029703547
540,2.845496014
542,2.965588636
544,2.948944402
546,2.952645441
548,2.831652317
550,2.7223233
552,3.03538371
554,2.757005311
556,2.625482393
558,2.715455144
560,3.092241563
562,2.704804577
564,2.902973498
566,2.533849022
568,2.616422913
570,2.797131989
572,2.350334558
574,3.01290729
576,2.536947352
578,2.538944224
580,2.36018547
582,2.667881872
584,2.810737359
586,2.764100361
588,2.53203831
590,2.664388297
592,2.767549051
594,2.546636449
596,2.671969672
598,2.368465936
